"product_id","color_id","size_id","stock_at_day_71","stock_replenishment_days_72","stock_replenishment_days_73","stock_replenishment_days_74","stock_replenishment_days_75","stock_replenishment_days_76","stock_replenishment_days_77"
836635,478313433,820445075,25,38,1,-2,2,35,14
836635,842213539,242364222,1,0,0,0,0,0,0
928389,665237982,54666687,94,0,0,-1,1,0,0
928389,665237982,111455099,0,0,0,1,1,0,0
928389,665237982,242364222,108,0,17,-1,0,0,-1
928389,665237982,513017386,83,0,19,0,0,3,1
928389,665237982,820445075,65,0,85,0,0,0,1
940502,842213539,820445075,12,0,0,0,0,0,0
986042,665237982,111455099,8,0,0,0,0,0,0
986042,665237982,242364222,18,1,1,0,1,0,0
986042,665237982,513017386,22,0,0,0,0,1,0
986042,665237982,820445075,33,1,0,0,0,0,1
1138148,621611899,108454628,6,0,0,0,1,0,0
1138148,621611899,182555396,18,0,0,0,0,0,0
1138148,621611899,421635475,2,0,0,0,0,0,0
1138148,621611899,674701524,10,0,0,0,0,0,0
1138148,621611899,941322277,6,0,0,0,0,-4,0
1178388,718368786,111455099,17,0,0,0,0,0,0
1178388,718368786,242364222,24,0,0,0,0,0,0
1178388,718368786,513017386,26,0,0,0,0,0,0
1178388,718368786,820445075,16,0,0,0,0,0,0
1561460,429279321,54666687,116,0,0,0,0,1,1
1561460,429279321,111455099,59,0,2,0,0,1,0
1561460,429279321,242364222,108,0,0,0,0,0,2
1561460,429279321,513017386,89,0,2,0,0,0,7
1561460,429279321,820445075,105,0,0,0,0,0,1
1874414,78467031,182555396,16,0,1,1,0,0,0
1874414,78467031,489270175,39,0,0,0,0,0,0
1874414,78467031,558685710,67,0,0,2,0,0,0
1874414,78467031,642148717,48,0,0,0,0,0,0
1874414,78467031,674701524,18,0,0,2,0,0,0
1874414,78467031,941322277,58,0,0,4,0,0,0
1908353,939707869,182555396,20,0,1,0,1,0,0
1908353,939707869,489270175,33,0,0,1,1,0,0
1908353,939707869,558685710,75,2,0,2,0,0,1
1908353,939707869,642148717,57,0,0,1,0,0,0
1908353,939707869,674701524,28,2,0,1,0,0,1
1908353,939707869,941322277,62,2,0,2,0,3,0
1961026,654679495,111455099,15,0,0,0,0,0,0
1961026,654679495,242364222,66,0,0,0,1,0,0
1961026,654679495,513017386,40,0,0,0,0,0,1
1961026,654679495,820445075,12,0,1,0,0,0,0
2094841,665237982,111455099,4,0,0,0,0,0,0
2094841,665237982,242364222,7,0,0,0,0,0,0
2094841,665237982,513017386,8,0,0,0,0,-1,1
2094841,665237982,820445075,6,0,0,0,0,0,0
2182843,671435780,90614934,53,1,1,0,1,0,0
2182843,671435780,254705979,28,5,1,1,0,-1,3
2182843,671435780,489270175,75,0,1,0,0,0,0
2182843,671435780,558685710,70,1,0,0,0,0,0
2182843,671435780,632558253,32,1,1,-2,1,4,2
2182843,671435780,642148717,56,0,1,-1,2,0,0
2182843,671435780,941322277,41,0,0,0,0,-1,2
2295327,452481269,7026791,235,0,-1,1,0,0,0
2295327,452481269,8015276,154,0,0,0,0,1,1
2295327,452481269,541898038,82,0,0,0,0,0,0
2295327,452481269,558685710,304,1,1,0,4,1,0
2295327,452481269,843639151,278,0,0,1,0,1,-1
2436420,473173976,54666687,40,0,0,0,0,0,0
2436420,473173976,111455099,19,0,0,0,0,0,0
2436420,473173976,242364222,77,0,0,0,0,0,0
2436420,473173976,513017386,37,0,0,0,-1,1,0
2436420,473173976,820445075,62,0,0,0,0,0,0
2553833,444220004,54666687,53,0,2,2,0,0,1
2553833,444220004,242364222,64,1,3,0,0,5,2
2553833,444220004,513017386,51,0,0,0,0,0,0
2553833,444220004,820445075,66,1,1,2,0,0,2
2637932,533466108,108454628,6,0,0,0,0,0,0
2637932,533466108,124455800,9,0,0,0,0,0,0
2637932,533466108,350037367,5,0,0,0,0,0,0
2637932,533466108,421635475,10,0,0,0,0,0,0
2637932,533466108,436761077,11,0,0,0,0,0,0
2637932,533466108,843639151,11,0,0,0,0,0,0
2644529,665237982,111455099,45,1,0,0,0,0,0
2644529,665237982,452052101,37,0,0,0,0,0,0
2644529,665237982,513017386,66,0,0,0,0,0,0
2644529,665237982,541898038,13,0,2,0,0,0,0
2644529,665237982,704351195,28,0,0,0,0,0,0
2644529,665237982,727657238,39,0,0,0,0,0,0
2644529,665237982,792872119,2,0,0,0,0,0,0
2712662,448402856,54666687,64,0,0,-1,3,0,0
2712662,448402856,111455099,14,0,0,0,0,0,0
2712662,448402856,242364222,84,1,1,0,1,0,2
2712662,448402856,513017386,15,0,1,1,1,0,2
2712662,448402856,820445075,75,0,1,2,0,0,2
2998947,78467031,54666687,66,0,1,0,0,0,0
2998947,78467031,242364222,82,1,1,0,0,0,1
2998947,78467031,513017386,23,2,2,0,1,0,0
2998947,78467031,820445075,88,2,0,0,2,0,2
3093333,735224030,242364222,0,0,0,0,0,0,1
3129413,491503397,111455099,1,0,0,0,0,0,0
3129413,491503397,242364222,5,0,0,0,0,0,0
3129413,491503397,513017386,2,0,0,0,0,0,0
3129413,491503397,820445075,8,0,0,0,0,0,0
3129413,735224030,54666687,2,0,0,0,0,0,0
3129413,735224030,111455099,2,0,0,0,0,0,0
3129413,735224030,242364222,17,0,0,0,0,0,0
3129413,735224030,452052101,3,0,0,0,0,0,0
3129413,735224030,513017386,5,0,0,0,0,0,0
3129413,735224030,820445075,21,0,0,0,0,0,0
3176725,665237982,54666687,63,1,0,-1,35,1,0
3176725,665237982,242364222,92,1,0,0,2,0,1
3176725,665237982,513017386,0,0,0,0,28,-1,0
3176725,665237982,820445075,28,0,0,1,0,0,0
3436714,842213539,111455099,13,0,0,0,0,0,0
3436714,842213539,242364222,15,0,0,0,0,0,0
3436714,842213539,513017386,9,0,0,0,0,0,1
3436714,842213539,820445075,16,0,0,0,0,0,0
3504863,654679495,242364222,0,0,3,0,0,0,3
3504863,654679495,820445075,0,0,0,0,0,0,3
3600293,10926303,866775388,137,3,3,-1,2,1,0
3765604,222716272,820445075,6,0,0,0,0,3,0
3817767,222716272,182555396,0,0,0,0,1,0,0
3817767,222716272,558685710,2,0,2,2,0,0,3
3817767,222716272,642148717,0,2,2,3,0,0,2
3817767,222716272,674701524,0,1,1,0,1,0,1
3817767,222716272,941322277,0,1,3,1,0,0,2
3817767,448402856,421635475,0,0,1,0,0,0,0
3817767,448402856,558685710,0,0,4,0,1,0,4
3817767,448402856,642148717,0,9,0,3,0,0,1
3817767,448402856,941322277,0,0,0,0,0,2,0
4005152,909958217,54666687,77,0,1,2,1,0,2
4005152,909958217,242364222,83,1,2,0,3,1,3
4005152,909958217,513017386,68,2,1,2,1,1,2
4005152,909958217,820445075,101,1,3,0,-3,1,6
4031918,222716272,111455099,3,-1,0,1,0,0,0
4031918,222716272,242364222,7,0,0,0,0,0,0
4031918,222716272,513017386,1,1,0,0,0,0,0
4031918,222716272,820445075,1,0,0,0,0,0,0
4031918,473173976,242364222,4,0,0,0,0,0,0
4031918,665237982,242364222,1,0,0,0,0,-1,0
4031918,735224030,111455099,2,0,0,0,0,0,0
4031918,735224030,242364222,4,0,0,0,0,0,0
4031918,735224030,820445075,5,0,0,0,0,0,0
4315642,665237982,452052101,16,0,0,0,1,0,0
4315642,665237982,541898038,22,1,0,1,0,2,2
4315642,665237982,704351195,22,0,1,0,0,0,1
4315642,665237982,727657238,55,0,0,1,0,0,1
4315642,665237982,792872119,37,0,0,0,0,0,0
4315642,665237982,912547955,28,1,3,1,0,1,1
4402460,87671263,3000471,122,0,0,0,0,0,1
4402460,87671263,319419383,38,0,0,0,1,0,0
4402460,87671263,422108434,16,0,0,0,0,0,0
4402460,87671263,558685710,41,2,0,0,0,0,2
4402460,87671263,600575761,44,2,0,0,0,0,0
4402460,87671263,674701524,26,0,0,0,0,0,0
4402460,87671263,941322277,40,0,0,0,0,0,0
4428275,473173976,54666687,69,0,1,-1,1,0,0
4428275,473173976,111455099,70,0,0,0,4,1,2
4428275,473173976,242364222,95,2,3,1,2,5,2
4428275,473173976,452052101,19,0,1,0,0,-1,3
4428275,473173976,513017386,83,1,4,1,0,2,4
4428275,473173976,820445075,132,0,3,0,1,1,4
4450020,51733619,242364222,5,1,3,2,2,0,0
4450020,51733619,513017386,40,0,0,0,0,0,0
4450020,51733619,820445075,36,2,0,1,0,0,0
4450020,329416505,242364222,2,2,0,1,1,0,4
4450020,329416505,513017386,33,0,0,1,0,0,0
4450020,329416505,820445075,64,1,-1,1,0,0,0
4450020,735224030,242364222,0,0,1,1,0,0,0
4450020,735224030,513017386,14,0,0,0,0,0,0
4450020,735224030,820445075,2,2,0,1,0,0,2
4500239,735224030,513017386,34,0,1,0,0,0,1
4500239,735224030,820445075,1,0,0,0,0,0,1
4711034,222716272,111455099,4,0,0,0,0,0,0
4711034,222716272,242364222,14,0,0,0,0,0,0
4711034,222716272,513017386,9,0,1,0,0,0,0
4711034,222716272,820445075,26,0,0,0,0,0,0
4711034,842213539,111455099,4,0,0,0,0,0,0
4711034,842213539,242364222,18,0,0,0,0,0,0
4711034,842213539,513017386,15,0,0,1,0,0,0
4711034,842213539,820445075,22,0,0,0,0,0,0
4771003,78467031,7026791,82,1,0,1,1,0,0
4771003,78467031,8015276,83,1,1,0,0,0,0
4771003,78467031,452052101,47,1,1,0,0,0,0
4771003,78467031,541898038,58,3,0,0,0,3,0
4771003,78467031,558685710,77,0,1,0,1,0,0
4771003,78467031,560206786,36,2,0,1,-1,2,0
4771003,78467031,820445075,46,2,1,3,0,1,0
4805804,665237982,111455099,80,0,0,0,0,3,1
4805804,665237982,452052101,75,1,0,0,0,1,2
4805804,665237982,513017386,52,0,0,0,0,0,0
4805804,665237982,541898038,120,1,2,0,1,2,0
4805804,665237982,704351195,111,0,1,0,0,0,2
4805804,665237982,727657238,114,3,2,2,0,3,2
4805804,665237982,792872119,42,0,1,0,0,1,1
4805804,665237982,912547955,99,1,0,0,0,0,1
4994954,222716272,182555396,0,0,0,0,1,-1,0
4994954,222716272,558685710,11,0,1,1,76,0,1
4994954,222716272,642148717,10,1,0,0,0,0,0
4994954,222716272,674701524,0,0,1,0,0,0,0
4994954,222716272,941322277,0,0,0,1,0,0,0
5239084,898494837,54666687,31,0,0,0,1,0,0
5239084,898494837,242364222,34,0,0,0,0,-1,1
5239084,898494837,513017386,20,0,0,0,0,1,0
5239084,898494837,820445075,33,0,0,0,0,1,0
5566974,671435780,820445075,35,0,0,0,0,0,0
5586162,205334470,111455099,23,0,0,0,0,0,0
5586162,205334470,513017386,40,1,0,0,-1,1,0
5698558,298329588,19663886,0,0,0,0,0,1,-1
5785505,431398116,100083842,18,0,-1,1,0,0,0
5785505,431398116,521719317,5,0,0,0,-4,0,0
6069375,617064550,182555396,25,0,0,1,0,0,0
6069375,617064550,558685710,104,2,4,2,0,0,0
6069375,617064550,642148717,94,1,1,0,0,0,0
6069375,617064550,674701524,27,0,0,1,0,0,0
6069375,617064550,941322277,69,1,1,1,0,1,1
6092033,718368786,182555396,21,0,0,0,0,0,0
6092033,718368786,421635475,5,1,0,0,0,0,0
6092033,718368786,558685710,3,0,0,2,0,0,1
6092033,718368786,674701524,10,1,0,0,0,0,0
6092033,718368786,941322277,8,0,0,0,0,0,0
6198698,665237982,54666687,57,0,11,2,56,1,0
6198698,665237982,111455099,14,0,10,0,22,-1,1
6198698,665237982,242364222,72,0,32,4,93,2,1
6198698,665237982,513017386,61,0,0,1,32,1,1
6198698,665237982,820445075,48,1,44,6,70,1,1
6339011,165718507,319419383,13,0,1,0,0,0,0
6447607,649181039,452052101,12,1,0,0,0,1,0
6447607,649181039,513017386,36,0,0,0,0,0,0
6447607,649181039,541898038,19,0,0,0,0,0,0
6447607,649181039,704351195,12,0,1,0,0,0,0
6447607,649181039,727657238,19,0,0,0,0,0,0
6447607,649181039,792872119,13,0,1,0,0,1,1
6447607,649181039,912547955,20,0,1,0,0,0,0
6617225,18805503,3000471,7,0,0,0,0,0,0
6617225,18805503,90614934,21,0,0,0,0,0,0
6617225,18805503,208196760,18,0,0,0,0,0,0
6617225,18805503,254705979,28,0,1,0,0,0,0
6617225,18805503,319419383,17,0,0,0,0,0,0
6617225,18805503,329816267,18,0,0,0,0,0,0
6617225,18805503,333313752,19,0,-1,1,0,0,0
6617225,18805503,489270175,14,0,0,0,0,0,0
6617225,18805503,558685710,12,0,-1,1,0,0,0
6617225,18805503,600575761,5,0,0,0,0,0,0
6617225,18805503,632558253,32,0,0,0,0,0,0
6617225,18805503,642148717,13,0,0,0,0,0,0
6617225,18805503,806347791,20,0,0,0,0,0,0
6617225,18805503,941322277,8,0,0,0,0,0,0
6748469,177460239,108454628,12,0,3,0,0,0,0
6748469,177460239,182555396,29,0,0,0,1,0,1
6748469,177460239,421635475,28,1,0,0,0,1,0
6748469,177460239,422108434,32,0,0,0,0,0,-1
6748469,177460239,473452736,30,0,0,0,0,0,0
6748469,177460239,600575761,17,0,0,0,0,0,0
6748469,177460239,647210896,5,0,0,0,0,0,0
6748469,177460239,674701524,19,0,0,0,-1,1,0
6748469,177460239,724094920,20,0,0,0,0,0,0
6850949,970404272,54666687,38,-2,2,0,0,0,0
6850949,970404272,111455099,8,0,1,0,0,2,0
6850949,970404272,242364222,64,0,0,0,0,3,1
6850949,970404272,513017386,19,0,0,-1,1,0,2
6850949,970404272,820445075,46,0,6,1,0,1,5
6854882,271590995,820445075,1,0,0,0,0,0,0
6943228,735224030,242364222,16,0,0,0,0,0,0
6943228,735224030,513017386,3,0,0,0,0,0,0
6943228,735224030,820445075,38,0,0,0,0,0,0
7220082,32598062,820445075,4,0,0,1,0,0,2
7231503,637483451,7026791,399,3,0,-1,1,1,0
7231503,637483451,8015276,326,6,0,-1,3,-2,4
7231503,637483451,541898038,221,2,1,0,1,0,2
7231503,637483451,558685710,784,3,3,1,0,0,5
7231503,637483451,843639151,532,3,3,0,0,1,0
7303890,671435780,182555396,15,0,2,0,0,0,0
7303890,671435780,421635475,17,0,0,0,0,0,0
7303890,671435780,422108434,17,0,0,0,0,0,0
7303890,671435780,473452736,22,0,0,0,0,0,0
7303890,671435780,600575761,2,0,0,0,0,0,0
7303890,671435780,674701524,10,0,0,0,0,0,0
7303890,671435780,724094920,16,0,0,0,0,0,0
7339133,429279321,513017386,0,0,0,0,1,0,0
7339133,429279321,541898038,74,0,0,0,0,1,0
7339133,429279321,704351195,30,0,0,0,1,0,0
7339133,429279321,727657238,2,1,0,0,0,0,0
7339133,429279321,912547955,118,0,0,0,0,1,0
7339133,537071943,541898038,13,0,0,0,-3,3,0
7339133,537071943,912547955,1,0,0,0,1,0,0
7339133,744479403,111455099,38,0,0,0,1,-1,1
7339133,744479403,452052101,173,1,1,1,0,0,0
7339133,744479403,513017386,29,0,0,-1,1,1,0
7339133,744479403,541898038,13,-12,0,0,0,0,0
7339133,744479403,704351195,0,0,0,3,1,0,0
7339133,744479403,727657238,164,1,0,2,0,0,-1
7339133,744479403,792872119,111,1,0,0,0,0,1
7384755,665237982,985347357,202,2,-4,0,4,0,2
7413997,280124428,111455099,177,1,0,1,2,1,3
7413997,280124428,452052101,174,4,1,1,0,0,-1
7413997,280124428,513017386,110,1,0,0,0,0,10
7413997,280124428,541898038,176,1,4,1,1,0,0
7413997,280124428,704351195,129,0,4,0,2,3,0
7413997,280124428,727657238,195,0,1,3,0,0,0
7413997,280124428,792872119,147,-1,1,0,2,0,0
7413997,280124428,912547955,89,1,4,0,0,10,5
7944101,473173976,820445075,0,0,0,0,0,2,0
7985500,617064550,820445075,5,0,0,0,0,0,0
8062596,744479403,452052101,1,0,0,0,0,0,0
8062596,744479403,727657238,2,0,0,0,0,0,0
8094827,744479403,54666687,26,0,0,0,0,1,0
8094827,744479403,111455099,17,0,0,0,0,0,0
8094827,744479403,242364222,80,0,1,-1,1,11,1
8094827,744479403,513017386,27,0,0,0,0,4,0
8094827,744479403,820445075,47,0,0,0,1,5,0
8198313,665237982,111455099,8,-1,0,0,0,0,16
8198313,665237982,242364222,48,-1,1,0,0,0,76
8198313,665237982,513017386,15,0,16,0,-1,1,28
8198313,665237982,820445075,45,0,0,0,0,-2,48
8362000,654679495,54666687,47,1,0,14,35,0,3
8362000,654679495,111455099,20,0,7,4,17,-1,1
8362000,654679495,242364222,56,1,9,16,46,-3,5
8362000,654679495,513017386,40,0,2,4,25,1,1
8362000,654679495,820445075,64,0,12,1,39,1,1
8422011,665237982,111455099,9,0,0,0,0,0,0
8422011,665237982,242364222,12,0,0,0,0,0,0
8422011,665237982,513017386,16,0,0,0,0,0,0
8422011,665237982,820445075,19,0,0,0,0,0,0
8505378,929385126,3000471,115,2,0,-3,4,-1,1
8505378,929385126,319419383,92,2,-1,1,0,0,2
8505378,929385126,422108434,1,2,0,0,0,0,0
8505378,929385126,558685710,41,0,0,0,0,0,0
8505378,929385126,600575761,92,3,1,-1,2,0,3
8505378,929385126,674701524,40,0,0,0,2,-1,1
8505378,929385126,941322277,141,1,2,0,2,-1,2
8733530,665237982,111455099,32,0,0,0,-1,0,1
8733530,665237982,242364222,25,0,0,0,0,0,1
8733530,665237982,513017386,40,0,0,0,0,0,1
8733530,665237982,820445075,29,0,0,0,0,1,0
8733530,735224030,111455099,13,0,0,0,0,0,1
8733530,735224030,242364222,21,0,0,0,0,-1,1
8733530,735224030,513017386,17,0,0,0,0,0,0
8733530,735224030,820445075,23,0,0,0,0,0,0
8909970,38379663,111455099,1,0,0,0,0,0,0
8909970,38379663,704351195,1,0,0,0,0,0,0
8909970,38379663,792872119,1,0,0,0,0,0,0
8915373,78467031,111455099,16,0,0,0,0,0,0
8915373,78467031,242364222,13,0,0,0,0,0,0
8915373,78467031,513017386,10,0,0,1,0,0,1
8915373,78467031,820445075,13,1,0,0,0,0,0
8915373,205334470,111455099,7,0,0,1,0,0,0
8915373,205334470,242364222,3,8,0,4,0,0,0
8915373,205334470,513017386,4,8,0,6,0,0,0
8915373,205334470,820445075,9,9,1,3,1,2,0
8915373,665237982,111455099,5,0,0,0,0,0,0
8915373,665237982,242364222,11,0,0,0,0,0,0
8915373,665237982,513017386,11,0,0,0,0,0,0
8915373,665237982,820445075,9,0,1,0,0,0,0
8932313,735224030,54666687,50,0,0,0,-1,3,0
8932313,735224030,111455099,16,0,0,0,0,0,0
8932313,735224030,242364222,53,0,0,0,0,19,0
8932313,735224030,513017386,24,0,1,2,0,0,1
8932313,735224030,820445075,56,0,1,0,0,2,0
9436424,842213539,820445075,4,0,0,1,0,10,0
9440517,762978915,452052101,6,0,0,0,0,-1,1
9440517,762978915,541898038,16,0,0,0,0,1,0
9440517,762978915,704351195,6,0,1,0,0,0,0
9440517,762978915,727657238,12,0,1,1,0,0,0
9440517,762978915,792872119,6,0,0,0,0,0,0
9440517,762978915,912547955,10,0,0,1,3,8,6
9593020,617064550,54666687,0,0,0,0,1,0,0
9593020,617064550,111455099,0,1,1,0,0,0,0
9593020,617064550,820445075,0,0,0,0,0,1,0
9596420,735224030,820445075,109,0,0,0,0,0,0
9686769,744479403,54666687,49,0,0,0,1,1,0
9686769,744479403,111455099,39,0,1,0,0,3,2
9686769,744479403,242364222,100,0,1,1,0,0,0
9686769,744479403,513017386,61,0,1,1,0,2,1
9686769,744479403,820445075,115,0,1,1,0,0,1
9912471,78467031,182555396,0,1,-1,0,0,0,0
9912471,78467031,421635475,0,0,0,0,0,1,0
9912471,78467031,558685710,6,0,0,0,0,1,0
9912471,78467031,674701524,0,3,0,0,0,1,0
9912471,78467031,941322277,35,0,0,0,0,0,0
9912471,280124428,182555396,0,0,0,0,0,2,1
9912471,280124428,558685710,1,-1,0,0,0,0,0
9912471,280124428,674701524,0,1,1,0,-1,1,0
9912471,280124428,941322277,0,1,0,-1,0,0,0
9912471,718368786,941322277,1,0,0,0,0,0,0
9912471,842213539,182555396,30,1,0,0,0,1,0
9912471,842213539,558685710,2,0,0,-1,0,0,0
9912471,842213539,674701524,26,0,0,0,0,1,1
9912471,842213539,941322277,4,0,0,-1,1,0,0
10012934,182301431,54666687,35,0,35,6,0,0,0
10012934,182301431,111455099,7,0,22,9,2,-1,0
10012934,182301431,242364222,45,0,37,10,1,0,0
10012934,182301431,513017386,23,0,36,1,1,0,0
10012934,182301431,820445075,56,-1,50,10,1,0,1
10062936,444220004,820445075,4,4,4,0,0,0,1
10222890,429279321,912547955,2,0,0,0,0,0,0
10225694,665237982,452052101,109,0,0,1,0,0,0
10225694,665237982,541898038,238,1,2,0,0,1,1
10225694,665237982,704351195,204,0,1,0,3,1,0
10225694,665237982,727657238,180,0,1,0,0,0,0
10225694,665237982,792872119,151,0,-1,0,1,0,0
10225694,665237982,912547955,152,2,2,0,0,1,2
10260184,205334470,7026791,22,18,0,3,0,7,0
10260184,205334470,8015276,10,35,0,0,0,3,1
10260184,205334470,541898038,2,19,0,1,2,3,1
10260184,205334470,558685710,19,8,1,7,2,13,1
10260184,205334470,560206786,3,2,0,4,0,4,0
10260184,205334470,843639151,3,5,0,3,0,0,0
10321946,665237982,452052101,1,0,0,0,0,0,0
10321946,665237982,541898038,1,0,0,0,0,0,0
10376927,842213539,820445075,9,0,0,0,0,0,0
10417235,55366521,54666687,34,0,0,0,0,1,0
10417235,55366521,242364222,0,0,0,0,0,0,3
10417235,55366521,513017386,0,0,0,0,1,0,0
10417235,55366521,820445075,0,2,0,0,0,0,0
10481098,859479207,182555396,2,1,-1,0,0,0,1
10481098,859479207,489270175,19,0,0,0,0,0,1
10481098,859479207,558685710,92,0,2,0,-1,3,0
10481098,859479207,642148717,68,1,1,1,0,0,0
10481098,859479207,674701524,14,1,1,0,1,1,1
10481098,859479207,941322277,67,1,-1,0,0,1,0
10489118,970404272,54666687,7,0,0,0,1,0,1
10489118,970404272,111455099,13,0,-1,2,0,0,1
10489118,970404272,242364222,23,0,1,0,0,1,1
10489118,970404272,513017386,4,0,1,0,0,1,0
10489118,970404272,820445075,39,0,5,2,1,-1,3
10588764,649181039,7026791,41,0,-1,5,3,21,28
10588764,649181039,8015276,46,0,0,3,0,25,15
10588764,649181039,452052101,28,0,0,4,5,3,12
10588764,649181039,541898038,30,0,0,9,8,7,19
10588764,649181039,558685710,41,0,0,8,12,24,25
10588764,649181039,560206786,18,0,0,10,6,23,2
10588764,649181039,820445075,21,11,0,1,0,5,20
10623040,665237982,54666687,0,0,1,0,0,0,1
10623040,665237982,242364222,0,0,2,2,2,1,2
10623040,665237982,513017386,22,1,2,0,1,2,2
10623040,665237982,820445075,69,1,3,0,2,1,2
10668431,617064550,242364222,104,1,0,0,2,3,1
10668431,617064550,513017386,31,2,0,0,0,0,0
10668431,617064550,820445075,82,0,1,0,2,0,1
10668431,718368786,242364222,161,1,2,2,0,0,0
10668431,718368786,513017386,29,1,6,1,1,0,1
10668431,718368786,820445075,96,1,1,1,1,0,2
10668431,735224030,242364222,145,3,1,0,0,0,1
10668431,735224030,513017386,0,0,0,0,0,1,0
10668431,735224030,820445075,41,0,1,0,1,1,0
10734126,99590204,820445075,144,3,50,1,1,0,1
10837940,271590995,820445075,65,0,0,0,0,0,0
11054403,735224030,54666687,0,0,0,0,0,1,0
11054403,735224030,242364222,90,2,2,2,0,3,1
11054403,735224030,513017386,20,0,2,1,0,0,4
11054403,735224030,820445075,52,1,2,2,0,2,3
11143660,744479403,54666687,55,2,1,1,0,1,0
11143660,744479403,242364222,53,3,3,1,1,0,3
11143660,744479403,513017386,23,1,0,1,0,0,0
11143660,744479403,820445075,44,2,1,0,0,0,2
11279032,842213539,820445075,51,0,0,0,0,0,0
11405197,78467031,111455099,9,0,0,0,0,0,0
11405197,78467031,452052101,1,2,0,0,0,0,0
11405197,78467031,541898038,18,0,1,0,0,0,0
11405197,78467031,704351195,0,3,1,0,1,0,0
11405197,78467031,727657238,11,0,-1,0,0,-2,2
11405197,78467031,792872119,0,2,0,0,0,0,0
11405197,78467031,912547955,13,0,0,0,0,0,0
11415462,429279321,111455099,90,0,0,0,0,0,0
11415462,429279321,452052101,108,0,0,0,1,0,1
11415462,429279321,513017386,72,0,0,0,0,0,0
11415462,429279321,541898038,346,1,0,1,1,0,1
11415462,429279321,704351195,276,1,0,1,0,0,0
11415462,429279321,727657238,309,1,1,3,0,0,3
11415462,429279321,792872119,200,0,0,1,0,1,2
11415462,429279321,912547955,232,1,0,0,0,1,0
11415462,665237982,111455099,19,0,0,0,0,0,0
11415462,665237982,452052101,39,0,0,0,0,0,1
11415462,665237982,513017386,27,0,0,1,0,0,0
11415462,665237982,541898038,276,0,0,1,0,0,0
11415462,665237982,704351195,181,0,0,0,0,0,1
11415462,665237982,727657238,232,0,0,0,0,0,0
11415462,665237982,792872119,91,0,0,0,0,2,0
11415462,665237982,912547955,85,0,0,0,0,0,0
11415462,909958217,111455099,86,0,0,0,0,5,0
11415462,909958217,452052101,84,0,0,0,0,6,0
11415462,909958217,513017386,68,0,0,1,0,3,0
11415462,909958217,541898038,137,4,1,1,2,0,0
11415462,909958217,704351195,78,2,2,12,1,10,0
11415462,909958217,727657238,133,3,2,3,0,10,5
11415462,909958217,792872119,86,0,0,1,1,2,0
11415462,909958217,912547955,116,1,0,0,1,0,0
11450160,909958217,54666687,52,0,2,0,0,0,1
11450160,909958217,111455099,2,1,-1,3,0,0,0
11450160,909958217,242364222,49,0,1,0,1,2,1
11450160,909958217,513017386,21,0,0,1,0,0,0
11450160,909958217,820445075,47,0,0,-1,1,0,0
